shopid,itemid
65642742,2212127828
65642742,1435358939
8690455,269366304
155240994,2317311451
22133925,254289335
6769895,82500883
13062645,131426555
48069124,2195052094
13062645,1335949205
17731346,783136188
13062645,829163622
8690455,390707920
27846350,1906458921
8690455,1298504485
48069124,877276724
27423955,579570686
8114349,56671356
27846350,1995841717
32610410,453152640
48069124,919702365
13062645,138050163
65642742,2360143591
75419935,1980240796
13062645,1894135971
21387430,838588978
32610410,453112157
27846350,1971404443
8690455,1467270974
32610410,453150855
47108885,2339736956
32610410,453149060
13062645,404506585
47108885,1772652099
75419935,1766914569
1441381,2327724567
32610410,453106981
13135948,117793932
32610410,560937570
27846350,1993572705
6769895,93993208
48069124,1306843684
21387430,1297484361
27846350,1793609411
8114349,1709478095
13062645,766636835
27423955,637947327
32610410,453100973
76993485,2363318154
21387430,420196748
32610410,1774543947
65642742,2094635553
13062645,714317224
32610410,453133055
21387430,501066291
27423955,863248660
8114349,475351771
27846350,1737228810
27846350,1918772170
21387430,1198623521
13062645,1557084012
32610410,453150787
5722042,1201945494
13062645,1605608696
48069124,2347947166
32610410,453133033
13062645,121006534
27846350,1628755431
27846350,1906967629
32610410,1658204074
13062645,99891424
27846350,1912738552
27846350,1793505058
32610410,453113228
32610410,453106990
13062645,1887141151
32610410,588881836
155240994,2318063495
13062645,121826148
2948538,1934462606
21387430,878757676
32610410,453133149
48069124,1311779683
48069124,866625001
32610410,453111320
65856135,2353340420
27846350,1793560652
32610410,453115618
32610410,453106992
27846350,1993311927
32610410,453151144
44570779,2321603237
48069124,978733612
13062645,136676704
32610410,453102266
27846350,1912690782
27423955,592635282
13062645,138053294
32610410,453101738
1700714,1012507247
4190844,2503902437
32610410,453100237
119391772,2344304113
32610410,453115526
32610410,453113233
32610410,1580143981
32610410,453111461
32610410,453115493
13062645,1335966104
13135948,118786198
13062645,136701084
1700714,1355825978
32610410,453150804
13062645,99896133
32610410,453115564
13062645,1906923855
8690455,2037117095
27423955,448014435
8690455,141308300
32610410,453133054
32610410,1710180371
32610410,453100918
13062645,865682272
27846350,1789666292
27423955,361082268
32610410,453102426
27846350,1995709407
32610410,453115560
13062645,1470189731
13062645,1336350958
32610410,453133067
27846350,1976481672
13135948,116017160
32610410,453149918
27846350,1907000637
32610410,453112062
13062645,2123981258
27846350,1760346498
1441381,2027076391
8690455,2009786840
157606515,2388559629
13062645,1566678548
13062645,865695977
32610410,453151130
32610410,595506644
13062645,1812779968
21387430,420166057
47108885,1835756836
1441381,1942450992
8114349,63833807
8690455,113135237
32610410,453110115
75419935,1923276925
21387430,756544293
48069124,756999040
11522311,546202667
13062645,1851614101
13062645,128231202
27846350,2074522992
32610410,453113105
32610410,453113145
13062645,714336845
32610410,453151117
32610410,453111462
32610410,453102423
34450546,1796101744
2948538,465400274
13062645,121830273
27423955,382180763
27846350,1971423978
8114349,262348842
8114349,97586734
32610410,453100129
27153906,2347502366
27423955,396007193
32610410,453113196
13062645,133041782
21387430,2091426698
32610410,453111425
13062645,1959924240
18305635,1765158649
13062645,1644408007
8690455,1523386422
8690455,743942240
13062645,257440378
32610410,453133097
32610410,453113142
27846350,1906730240
1441381,2002739554
8690455,84519229
21387430,789072618
32610410,453150304
32610410,453149128
13062645,131963312
21387430,2258046105
32610410,453100961
8690455,1548592253
22143752,2345616448
13062645,137454008
13062645,1888926512
48069124,1483712445
13062645,1748922951
1441381,2141703962
5090290,294275057
32610410,453111410
13135948,1332513721
32610410,453150399
32610410,453113171
32610410,453115584
8690455,1548640385
32610410,453150754
32610410,453102432
27423955,346829228
2948538,108207526
48069124,1621966866
65642742,1563537617
8690455,211729966
32610410,453150415
27846350,1907008146
32610410,453150373
32610410,453106951
32610410,453110079
13062645,1336154050
3112801,1930246334
32610410,453113159
27846350,1918737316
76993485,2439276280
32610410,453105372
32610410,453151135
8114349,67154105
32610410,453151158
47108885,2083989301
47108885,1874856931
27100471,802317446
32610410,453151104
6769895,82504322
13062645,2222008253
48069124,778219262
8690455,1771662987
13062645,2114551074
22143752,2286808502
13062645,560898133
7690511,59203578
48069124,2014814840
27846350,2074703259
27846350,1805023661
13135948,116017197
27846350,1912647033
32610410,453100916
13062645,1379201356
32610410,453110053
119391772,2356031323
27846350,1824500592
32610410,453151174
13135948,109857190
22133925,254288921
27846350,1918643241
32610410,453113227
27846350,1906734293
13062645,128455116
32610410,453151111
32610410,453149924
48069124,804619110
32610410,453110001
27423955,487685787
22212828,545056971
27423955,644758991
13062645,127029416
13062645,1626171038
14981723,1931806654
27846350,1971167224
27846350,1628618794
27423955,2499904353
40458507,1103999990
1441381,1996647514
46903061,1840256567
8690455,757437454
27846350,1789674206
22133925,258389620
13062645,134081655
13062645,122381674
32610410,453151151
8114349,570355012
27846350,1995162827
32610410,453110139
13062645,1347998237
27423955,346829310
27846350,1918749648
32610410,2081786254
27846350,1906527592
6769895,82605385
32610410,453106973
27846350,1798570618
1441381,2327713079
32610410,453109999
22133925,2214934644
32610410,453100901
32610410,453110112
48069124,2348162749
27846350,1995262710
13062645,1626120328
27846350,1912595054
27846350,1912685236
32610410,453106916
13062645,1938372078
32610410,495337551
48069124,776064044
48069124,1030483777
32610410,453100882
65642742,1271028528
7690511,1463054596
65642742,2139191195
8114349,57459445
34450546,2189546596
32610410,453113214
70823336,1346035231
32610410,453151164
21387430,1146175727
34450546,2363885213
32610410,453100138
32610410,453133024
32610410,453101775
2948538,102365909
13062645,1336004200
13062645,622197585
27846350,1797013495
32610410,453152620
13062645,140667677
27846350,2074330281
27846350,1906705117
32610410,453100871
8690455,108213292
13062645,573201544
13062645,1455486028
32610410,453110094
11522311,542433212
13135948,1262255430
32610410,453101789
27846350,1799217199
48069124,863384580
13062645,114066126
13062645,131003568
2948538,108204050
13062645,1557088510
27846350,1628532725
32610410,453151178
13062645,1511230065
13062645,99894935
21387430,750830164
13062645,1854009827
119391772,2344302353
32610410,453113226
13062645,1336510423
75419935,1766902382
27846350,1907099519
2948538,102230227
32610410,453100221
8690455,969960976
27846350,1993528761
32610410,453112152
13062645,1577685899
32610410,453102415
27846350,1971372521
8690455,1772005687
13062645,1461804871
48069124,1070079998
65856135,2462371591
32610410,453112142
13062645,604580760
32610410,453113206
13062645,2043260379
13062645,1336417225
13062645,1673804127
32610410,453102229
32610410,453113141
21387430,394582358
27846350,1907025462
27846350,1789685843
27423955,410881120
47108885,2215116178
27846350,1793435228
48069124,804684926
32610410,453151100
32610410,453112104
32610410,453150752
48069124,1745862259
8690455,90133107
27846350,1628418881
32610410,453113237
1441381,2464565419
32610410,453150403
48069124,1746185360
27846350,1918785464
48069124,862864167
18374750,2014537695
27846350,1906746334
27423955,346829210
32610410,453102409
119391772,2356001146
13135948,102242796
13062645,1336506613
154261815,2471138751
65642742,1089973218
32610410,453112099
32610410,453151139
13062645,2167645888
6769895,66587937
13135948,116017176
32610410,453106856
34450546,1796143350
27846350,1912715930
27846350,1805008801
27846350,1971431590
27846350,2074651499
32610410,453106999
32610410,453151112
13062645,1933917387
32610410,453151119
32610410,453111426
32610410,453101780
27846350,1912281916
13062645,1455537831
32610410,453133058
32610410,453150765
32610410,453113241
159300911,2375335788
48069124,2348180911
13062645,2167596677
32610410,453110105
40458507,998472505
48069124,758109885
48069124,1311784708
48069124,778789152
4048707,31197404
27846350,1965272476
1441381,2219457185
32610410,453150844
27846350,1907121448
48069124,978738262
32610410,453113246
6769895,48086161
13135948,1332513727
119391772,2344286828
27846350,1912303780
32610410,453149930
13062645,137056966
48069124,862999954
27846350,1799252868
32610410,453150389
32610410,453152679
32610410,453112148
32610410,453100921
64771404,1258807436
32610410,614212438
4190844,778373008
13062645,134092103
7690511,1363647337
32610410,453150307
32610410,453152605
27423955,409666858
27846350,1918741705
32610410,453110074
32610410,453151108
6769895,82603945
22212828,543986920
65642742,1307261537
32610410,453150755
32610410,1633619823
13062645,1959445932
65856135,2315346024
27423955,428760898
32610410,453100175
22143752,2344750398
65642742,2365465659
13062645,1455449224
4190844,842267655
32610410,453113200
32610410,954775767
32610410,453115545
27846350,1907136377
27846350,1953556802
32610410,453113080
48069124,777748833
13135948,102238799
13062645,128433535
8114349,978339029
32610410,453101741
27423955,346829300
8690455,2037095408
27846350,1918780474
48069124,1069343441
32610410,453149954
27846350,1906513927
27423955,346829217
27846350,1904258669
27846350,1993201258
32610410,453151143
27423955,811351139
32610410,1631186799
13062645,1973620120
6769895,2067540353
13062645,1962673934
21387430,867718734
1441381,2252078939
32610410,453100188
65642742,2180452426
32610410,1633615628
48069124,757072882
27423955,352575308
27846350,1907109872
13062645,561041499
1441381,2219460843
65642742,2144607516
27846350,1912698571
13062645,1574458937
155240994,2317541872
65642742,1535011908
13135948,116017186
27846350,1904468997
27846350,1971450576
32610410,453151131
22212828,707481085
48069124,1186426823
32610410,453152622
13062645,2415474496
32610410,453112102
34450546,2489082736
32610410,453102317
321297,1812974639
21753290,246902708
27423955,346829218
32610410,453110049
48069124,777739215
32610410,2421108976
27846350,1918774756
13135948,300255593
27846350,1995693030
48069124,1069873720
48069124,804689265
48069124,918236830
13062645,1933941970
27846350,1975166140
32610410,453100925
22133925,254289135
119391772,2344298018
4190844,494112116
27846350,1975159933
13062645,140364567
3860427,2044490031
32610410,453100238
32610410,453152578
6769895,82502598
27846350,1913575250
32610410,453111405
13062645,1461933849
11522311,542468506
13062645,1913801359
32610410,453109961
13062645,1580234642
13062645,1336559950
22143752,2344773678
48069124,1186452468
13062645,2365344436
48069124,918246254
32610410,453100135
22212828,709203351
18305635,1425807780
119391772,2356013439
48069124,966161768
40458507,960473923
48069124,2256277237
32610410,453133129
1441381,2464633708
1441381,1924978710
32610410,453109971
13135948,338585441
32610410,453106933
13062645,1733712414
48069124,914863892
13062645,127030772
155240994,2317559508
32610410,453106997
32610410,453102385
32610410,453110008
13062645,132262720
32610410,453133095
27846350,1995829688
13062645,1733720981
32610410,1804780473
27846350,1824514375
27846350,1789691716
13062645,1461812240
27846350,1760304107
48069124,757044865
48069124,1069354790
32610410,453149094
27846350,1912640558
32610410,560956698
1441381,2219450718
32610410,453150343
32610410,453110075
32610410,453101766
27846350,1918653112
4190844,1952734961
48069124,863377592
27423955,346829299
32610410,453109957
32610410,453102417
27423955,364661649
18305635,1831317966
27846350,2074657309
7690511,1374000332
27846350,1906989401
48069124,863009726
27846350,1971439966
32610410,453110092
32610410,453111484
13062645,2068632472
13062645,1336548268
32610410,453100907
155240994,2316197653
32610410,453110143
32610410,453113236
27846350,1976484547
32610410,453155126
13135948,127780675
4190844,2088122328
27423955,346829238
119391772,2344300490
48069124,804590856
27846350,1953616002
27846350,1912730051
48069124,918266845
32610410,453151142
13062645,595582168
44570779,2104478953
32610410,453113167
27423955,346829204
27846350,1976513422
27846350,1906285171
13062645,128432089
48069124,862837544
27846350,1993230914
27846350,1885448723
32610410,1640535627
27846350,1995747895
157764925,2491588898
27846350,1795502095
32610410,453115499
32610410,453111331
32610410,453150801
65642742,2442505574
115728505,2343969670
13135948,116017175
27846350,1906759220
32610410,453101802
22212828,705424358
13062645,1832059312
48069124,804597315
18305635,1423931032
2948538,108204004
48069124,1613637885
48069124,865542399
27846350,1912777084
32610410,2070296852
27846350,1824527078
48069124,964619105
31425567,2209365829
13062645,2222030057
32610410,453133177
32610410,453100184
32610410,453115534
32610410,453150788
27423955,487693950
32610410,453112145
155240994,2318947812
18374750,2014577946
22133925,254288918
27423955,346829278
4190844,1868407048
32610410,556444359
27423955,391493363
32610410,453113156
13062645,1865789447
27846350,1913586308
21387430,1446344373
4190844,133742138
27153906,2347439652
13062645,1828743383
32610410,453101749
32610410,453100163
27423955,346829296
48069124,778781008
1441381,2464621039
13062645,1455421206
32610410,453149042
32610410,453101748
13062645,545223006
27846350,1993273760
13062645,1567627000
48069124,865292728
4190844,494109064
48069124,1745944616
22133925,258312427
32610410,453150843
13062645,1826629049
65642742,2106068311
8114349,1863582689
48069124,865302820
27423955,361093873
155240994,2312951210
21387430,372404506
32610410,453100225
32610410,453150803
27423955,346829258
13135948,1263278930
27423955,1312359578
119391772,2344293530
32610410,453110106
32610410,453110137
3860427,126307343
13062645,136644530
8114349,1177360853
32610410,453150337
34450546,1796118935
32610410,453100869
27846350,1797159134
13062645,187199709
32610410,453112074
13062645,733578617
13135948,338585502
65642742,2180471973
1441381,2196704551
32610410,453149986
48069124,804692107
34450546,2516400019
48069124,900748974
27423955,512271238
32610410,453100864
32610410,453100914
32610410,453151162
32610410,453149925
32610410,453150779
21387430,721254089
13062645,1733505519
48069124,1186345009
1441381,2219465929
32610410,1631189370
48069124,804626078
27423955,346829229
13062645,1336403065
27846350,1995247879
65642742,1609166706
27846350,1907049224
32610410,453110107
32610410,453152588
155240994,2317567037
91422639,1992213972
13062645,1336501924
64771404,1362734269
32610410,582143515
22133925,254289337
13062645,140234326
27846350,1912734589
11522311,542516988
13062645,714300862
27846350,1885402520
13062645,1590667850
48069124,1625080822
13062645,2105599864
32610410,453113091
13062645,1455510717
6769895,2067546809
48069124,1743274973
6769895,82606184
13062645,218959863
100451309,2096948525
27846350,1912294024
27846350,1993518360
32610410,453110065
32610410,453150794
27423955,592641262
32610410,453106846
32610410,453100242
27846350,1796625067
32610410,453100174
13062645,865699423
32610410,453100872
21387430,2371511284
32610410,453111367
32610410,453149073
13135948,409381940
32610410,453150346
65642742,2094713257
27846350,1801360617
47108885,1726132077
32610410,453110039
48069124,2348127228
27846350,1760285957
22212828,992349097
6769895,82503100
32610410,453111407
48069124,978685181
13062645,561034733
32610410,453101787
159300911,2377721683
27846350,1761495359
27423955,346829213
32610410,954779314
32610410,453112135
32610410,453110059
13062645,653677061
27423955,346829209
22133925,254289332
32610410,453106965
27846350,1912652304
13062645,138744635
27846350,1976486153
32610410,1861812631
27846350,2074722510
32610410,453151146
21387430,890705184
32610410,453151170
13062645,1336036141
27846350,1825019750
2948538,108204034
22212828,1676167940
48069124,1069349670
122696896,2077854769
73875366,2510683460
27423955,346829220
32610410,733873693
32610410,453133143
13062645,1336345544
32610410,453151109
13135948,1263292612
13135948,1263285510
32610410,453151118
157606515,2388561302
8114349,1181187770
32610410,453101771
13062645,1579443787
7690511,1061497091
48069124,2348246345
32610410,453133140
119391772,2344294444
32610410,453110002
65642742,1577555762
2994751,159276188
32610410,453150858
32610410,453111311
32610410,453106971
22143752,2344726921
321297,1812999588
27153906,2347634484
27846350,1993288560
65642742,2352762567
1441381,2327672081
13062645,1408856685
27846350,1953712360
13062645,1605601979
76863335,1730102218
8690455,253917978
321297,1768550490
27423955,346829188
32610410,453133157
32610410,2196051198
32610410,792992854
27423955,761658440
48069124,2195073300
48069124,1231161920
27423955,352570631
32610410,453106984
32610410,453112073
27846350,1995754258
32610410,453111394
21387430,624369137
1441381,2239442815
32610410,1640536909
27846350,1918763216
27846350,1906544361
13062645,1486768092
32610410,453102278
119391772,2344303346
32610410,453100161
159300911,2377732943
13062645,1336443807
27423955,346829288
32610410,453149125
32610410,453106907
13062645,714303356
48069124,2299428183
27846350,1912484589
65642742,1479690752
13062645,1458440380
32610410,453111324
32610410,453102351
32610410,453111457
21387430,711289567
4190844,1074288479
32610410,453149049
32610410,453101758
27846350,1995857650
27846350,1995230865
32610410,453152627
32610410,453113153
32610410,453106979
32610410,453109968
32610410,453113166
32610410,453150418
32610410,453110000
32610410,453149058
32610410,453150835
32610410,453113103
13062645,1906941982
32610410,453112090
1441381,1942447665
13062645,136652384
5838602,684345305
27846350,1906687391
3793098,2422613766
32610410,453150839
34450546,2516458848
13062645,2167616763
32610410,453150383
32610410,453151129
27846350,1912507988
73120799,1310126493
32610410,453110060
27846350,1975190355
13062645,137447624
48069124,862827603
32610410,453115489
27846350,1907165738
32610410,453151134
13135948,1263301912
32610410,453152606
13062645,714329301
27846350,1906534905
8690455,269335493
22133925,254288917
27846350,1993538191
13062645,1821587960
13062645,1918181236
27846350,1971393852
27846350,1913581235
32610410,453113188
6769895,66575207
32610410,453111429
27846350,1918787654
34450546,1796133363
13062645,561052653
48069124,757825128
32610410,453133112
32610410,453111364
32610410,453150336
32610410,453133175
65642742,2390946568
32610410,453133120
32610410,453101003
32610410,453150807
48069124,1311790165
27846350,2051874966
67007824,1260796218
4190844,133730400
98575465,2067796569
6769895,82607633
32610410,453102319
27846350,1885365984
32610410,453100162
11522311,542477422
32610410,453113254
32610410,453150793
27846350,1995172023
6769895,82501649
32610410,453109959
48069124,2195088901
13062645,1580228409
44373378,1470887181
65642742,1379083497
21387430,463914313
27846350,1918733130
27846350,1906696584
13062645,1348013815
32610410,453111489
48069124,2347905765
157606515,2388559703
13062645,611891848
4190844,1650379183
32610410,453152579
27846350,1994699018
1441381,2330537278
27423955,379485445
27846350,1906327342
32610410,790226541
34450546,2003175341
3860427,1576951949
32610410,453112150
48069124,2348045005
32610410,453150781
27846350,1918669252
32610410,453150378
14717578,2355558425
32610410,453110068
1441381,2027055784
13062645,728291244
13062645,122375104
5112743,1984766486
65642742,1435336660
32610410,453106843
27423955,346829287
13062645,1610020800
13062645,2198247809
22133925,2212440922
32610410,453150420
4190844,494114427
48069124,778180472
65642742,1479710415
32610410,453101784
32610410,479967441
27846350,1907143507
3860427,989764359
13062645,1336528641
32610410,453150422
32610410,453113229
1441381,2027065910
32610410,453150027
32610410,453106887
1441381,2137479789
32610410,453101740
13062645,257436511
27846350,1993222395
27846350,1798030636
17731346,596877088
44570779,2044437028
13135948,409381941
27423955,346829200
13062645,1569240836
13062645,1639074189
32610410,453151187
32610410,453111441
13062645,140231211
27423955,1234604971
32610410,453102389
32610410,453112124
32610410,453151149
32610410,453106844
27846350,1953473005
13062645,1455553179
32610410,453100948
21387430,2205813750
27846350,1912661446
27846350,1906489662
32610410,453133181
79504630,1659004576
32610410,453100898
27846350,1800243428
4190844,494110672
32610410,576648512
32610410,453133136
21387430,382099247
32610410,453109990
13135948,156030684
32610410,453100133
48069124,978694977
21753290,246903977
13062645,1605654154
27846350,1995703136
32610410,453151105
13062645,1336434461
27153906,2347480801
48069124,791880131
27846350,1953671568
27846350,1995821061
3860427,989759562
11522311,2340856605
1441381,2239426819
7690511,1293196078
1441381,2027051386
27846350,1953499091
27423955,346829248
48069124,1746082156
13062645,2269581560
1441381,2239867316
27846350,1913557846
32610410,453150808
21387430,976061093
27846350,1795604311
7993815,2485852779
5112743,882396687
32610410,453109955
27423955,346829304
32610410,1888517480
8114349,1221910946
32610410,453112154
13135948,1332513725
27846350,1912725192
32610410,453150815
27846350,1993252275
32610410,453100991
13062645,1336524640
13062645,1626126367
32610410,453149960
1441381,2239858287
65642742,1953523820
13062645,571323795
1441381,2184504684
48069124,980645213
65642742,2269320050
8690455,253788869
22133925,2446989070
1441381,2056488475
13062645,1379190171
8690455,1903401231
27153906,2347583389
27846350,1912448785
65642742,2392244231
13062645,2263940373
65642742,2124702958
32610410,453102320
6769895,66578037
27846350,2061134672
32610410,2042186225
1441381,2125539975
32610410,453100906
32610410,453115491
64771404,1688308857
27846350,1793455698
321297,1766697025
32610410,453111393
32610410,453100243
48069124,863372742
32610410,453100915
48069124,996419913
13062645,1336407026
32610410,453101746
335351,1281295617
32610410,453110048
27100471,362041705
48069124,2348204100
65642742,1360863388
32610410,453151136
32610410,453113222
13062645,1433589991
48069124,1745909675
13135948,109834656
32610410,453112118
27846350,1824478513
13135948,899446374
1441381,2269126441
32610410,453101761
48069124,919503862
65642742,1542586351
21387430,617242156
21387430,573295863
27423955,1090649054
32610410,453150838
32610410,453150412
32610410,453112052
32610410,453111443
32610410,453115607
48069124,2020685265
32610410,453150831
32610410,453106899
48069124,1405140888
22133925,254289339
13062645,1826632732
27846350,1994636011
34450546,2365893565
13062645,2180816592
13062645,1907063829
27846350,1953648253
32610410,453106903
27846350,1971384561
13062645,1608171868
48069124,1069845167
32610410,453151114
27846350,1912287869
32610410,453102230
22133925,254289137
2948538,1140674043
32610410,453112114
32610410,453151163
32610410,453113238
32610410,453110058
32610410,453100865
27846350,1793588374
1441381,2327656486
13062645,99885674
65642742,2152455688
76993485,2216900202
3860427,24028282
27846350,1824558470
1441381,1922535813
27846350,1975173300
32610410,453149923
76993485,2439256029
48069124,1186379654
32610410,453149958
4190844,807225315
32610410,453101727
27423955,382169717
32610410,836243892
34450546,2335718642
32610410,453133023
13062645,1710767804
32610410,453106989
13062645,128226538
13062645,167060898
32610410,453150768
32610410,453111372
13062645,2371042904
13062645,1626090263
13062645,1408603854
32610410,453101786
32610410,453149974
32610410,453111468
11522311,542525862
32610410,453113122
32610410,453112086
32610410,453115548
32610410,453113112
32610410,453111352
65642742,2108655380
13062645,257648628
32610410,453151161
27846350,1918693774
34450546,1796114329
27423955,644766387
27846350,1628837301
32610410,453112139
48069124,863390181
1441381,2327684607
27846350,1906603113
32610410,453111437
32610410,453150797
32610410,453109969
1441381,2002748495
13135948,117793887
22133925,258340178
27846350,1953250127
1441381,2464656339
27846350,1912721094
22133925,254289331
32610410,453150306
32610410,453115540
32610410,453150819
32610410,1804762336
1441381,2194154864
1441381,2464595336
13062645,573188300
32610410,453151120
7690511,1297939240
65642742,1391732888
13062645,1626084040
27846350,1918700653
27846350,1918777883
48069124,978557922
32610410,453111368
13062645,196497977
32610410,453113242
2948538,220666465
32610410,453151197
13062645,1554544360
27846350,1944252247
13135948,1263295122
48069124,2348218815
32610410,1631182138
155240994,2317723058
27423955,1610988607
27846350,1906501309
72359361,2265065554
32610410,453100212
48069124,2348029155
155240994,2317486146
32610410,453101792
32610410,453110015
13062645,714345486
13062645,712248770
32610410,453151165
32610410,1781065152
22133925,254289324
32610410,453106934
27423955,346829308
18305635,1420245857
5090290,643778082
32610410,2423724821
32610410,453101743
82542735,2325237537
32610410,453115544
13062645,126303101
13062645,1939131672
18374750,2014499027
13135948,1263288346
32610410,453150009
48069124,978616054
119391772,2344295411
32610410,453111477
48069124,978764377
32610410,453150405
32610410,453101730
2948538,1934120184
27846350,1976487872
13062645,1885153768
32610410,453133134
48069124,877300590
32610410,453150018
65642742,1517639974
32610410,453101781
32610410,453150323
32610410,453111427
27846350,1975142112
22212828,545032309
5688424,1998835691
8690455,365503872
1441381,2280899802
32610410,453142288
32610410,453101776
1441381,2336677389
1441381,2002729550
32610410,453100923
27846350,1993213821
4190844,2443282679
27423955,351904689
13062645,2142993181
32610410,453150397
48069124,778159509
32610410,453151133
155240994,2318943874
13062645,1667469324
27423955,351081108
32610410,453109994
13062645,2025813137
32610410,453102235
13062645,134430817
32610410,453106967
27846350,1918680230
13062645,121906675
27846350,1953526225
32610410,453149113
32610410,453111319
119391772,2344288776
16679882,1040009750
27423955,346829309
18374750,2019566841
32610410,453150391
2948538,217239732
32610410,614208047
13062645,134084323
32610410,453113204
32610410,453133096
32610410,453149136
48069124,804711108
2633520,282988165
27423955,346829227
13062645,1336425015
32610410,453110128
32610410,453150763
32610410,453112131
32610410,453101744
27846350,1904344655
13062645,1748926804
13062645,137450049
32610410,453150813
27846350,1995255781
1441381,2464581494
7690511,970180763
13062645,126898191
1441381,2464644978
34450546,2119775942
32610410,453102277
32610410,453115539
27846350,1953702964
22133925,254289330
27846350,1918674305
32610410,453150862
27846350,1912529131
27846350,1906568744
4190844,1158709488
32610410,453150395
32610410,453115509
13062645,728225795
32610410,453102313
32610410,582146540
32610410,453150296
48069124,2356849402
2948538,108204000
32610410,453115554
27423955,428776917
32610410,453150394
32610410,453150806
32610410,576658282
4190844,1649988189
27846350,1906727611
48069124,865370669
13062645,128432845
32610410,453115653
48069124,919692474
27423955,364693190
13062645,1673777001
13062645,125182043
27423955,346829274
32610410,453149124
13062645,1335995339
22212828,1511647099
32610410,453113146
27846350,1885526212
32610410,453152611
32610410,453100216
13062645,122379049
1441381,2239416736
32610410,512278947
1441381,1942444132
1441381,2108312575
27846350,1795644382
34450546,2489044927
27423955,448070615
27846350,1799208504
48069124,1746178007
48069124,1186465145
13062645,132674819
32610410,453110116
32610410,453106963
159300911,2376129810
32610410,453109952
27846350,1995180374
13062645,1336026810
32610410,453150832
13062645,127028165
13135948,156030712
13062645,134093842
48069124,2356824836
27846350,1907014580
1441381,2129285986
32610410,789574565
7690511,1363589542
2948538,108204071
13062645,1926397900
32610410,453100139
